pressure_bar,PC_lat-49.3,PC_lat-46.2,PC_lat-43.0,PC_lat-39.9,PC_lat-36.8,PC_lat-33.9,PC_lat-31.1,PC_lat-28.3,PC_lat-25.6,PC_lat-23.0,PC_lat-20.4,PC_lat-17.9,PC_lat-15.4,PC_lat-12.9,PC_lat-10.5,PC_lat-8.1,PC_lat-5.7,PC_lat-3.3,PC_lat-0.9,PC_lat+1.5,PC_lat+3.9,PC_lat+6.3,PC_lat+8.7,PC_lat+11.1,PC_lat+13.6,PC_lat+16.0,PC_lat+18.5,PC_lat+21.1,PC_lat+23.6,PC_lat+26.3,PC_lat+29.0,PC_lat+31.7,PC_lat+34.6,PC_lat+37.6,PC_lat+40.6,PC_lat+43.8,PC_lat+47.0
0.101395,3.2455e-07,7.8417e-08,2.9631e-07,2.7567e-07,2.1796e-07,1.9844e-07,3.0507e-07,2.4037e-07,1.5356e-07,6.6655e-08,9.7962e-08,5.3024e-08,5.7147e-08,8.3828e-08,1.6482e-07,2.3808e-07,4.0006e-07,2.0859e-07,8.4617e-08,1.8292e-07,1.9861e-07,9.5330e-08,3.2796e-08,8.5876e-08,8.4426e-08,2.1253e-07,2.7977e-07,1.5886e-07,1.1625e-07,2.5660e-07,2.0372e-07,2.7136e-07,1.5990e-07,3.1448e-07,2.4192e-07,3.0902e-07,2.3561e-07
0.102809,3.2455e-07,8.0160e-08,2.9631e-07,2.7567e-07,2.1796e-07,1.9844e-07,3.0507e-07,2.4074e-07,1.5433e-07,6.7631e-08,9.8156e-08,5.3237e-08,5.7163e-08,8.3828e-08,1.6482e-07,2.3808e-07,4.0006e-07,2.0913e-07,8.5480e-08,1.8568e-07,1.9750e-07,9.6830e-08,3.3337e-08,8.6838e-08,8.5094e-08,2.1253e-07,2.7977e-07,1.5888e-07,1.1644e-07,2.5660e-07,2.0372e-07,2.7136e-07,1.6186e-07,3.1448e-07,2.4192e-07,3.0902e-07,2.3561e-07
0.104243,3.2455e-07,8.1939e-08,2.9631e-07,2.7567e-07,2.1796e-07,1.9844e-07,3.0507e-07,2.4112e-07,1.5510e-07,6.8619e-08,9.8349e-08,5.3449e-08,5.7180e-08,8.3828e-08,1.6482e-07,2.3808e-07,4.0006e-07,2.0968e-07,8.6350e-08,1.8847e-07,1.9639e-07,9.8352e-08,3.3885e-08,8.7810e-08,8.5766e-08,2.1253e-07,2.7977e-07,1.5889e-07,1.1662e-07,2.5660e-07,2.0372e-07,2.7136e-07,1.6383e-07,3.1448e-07,2.4192e-07,3.0902e-07,2.3561e-07
0.105697,3.2455e-07,8.3755e-08,2.9631e-07,2.7567e-07,2.1796e-07,1.9844e-07,3.0507e-07,2.4149e-07,1.5588e-07,6.9621e-08,9.8543e-08,5.3663e-08,5.7195e-08,8.3828e-08,1.6482e-07,2.3809e-07,4.0006e-07,2.1022e-07,8.7228e-08,1.9130e-07,1.9529e-07,9.9895e-08,3.4442e-08,8.8791e-08,8.6442e-08,2.1253e-07,2.7978e-07,1.5890e-07,1.1681e-07,2.5660e-07,2.0372e-07,2.7136e-07,1.6583e-07,3.1448e-07,2.4192e-07,3.0902e-07,2.3561e-07
0.107172,3.2455e-07,8.5607e-08,2.9631e-07,2.7567e-07,2.1796e-07,1.9844e-07,3.0507e-07,2.4186e-07,1.5665e-07,7.0635e-08,9.8736e-08,5.3876e-08,5.7211e-08,8.3828e-08,1.6482e-07,2.3809e-07,4.0006e-07,2.1076e-07,8.8113e-08,1.9416e-07,1.9419e-07,1.0146e-07,3.5006e-08,8.9782e-08,8.7122e-08,2.1253e-07,2.7978e-07,1.5891e-07,1.1699e-07,2.5660e-07,2.0372e-07,2.7136e-07,1.6784e-07,3.1448e-07,2.4192e-07,3.0902e-07,2.3561e-07
0.108667,3.2455e-07,8.7497e-08,2.9631e-07,2.7567e-07,2.1796e-07,1.9844e-07,3.0507e-07,2.4223e-07,1.5743e-07,7.1662e-08,9.8928e-08,5.4090e-08,5.7226e-08,8.3828e-08,1.6482e-07,2.3809e-07,4.0006e-07,2.1131e-07,8.9005e-08,1.9707e-07,1.9310e-07,1.0305e-07,3.5579e-08,9.0781e-08,8.7806e-08,2.1253e-07,2.7978e-07,1.5892e-07,1.1718e-07,2.5660e-07,2.0372e-07,2.7136e-07,1.6988e-07,3.1448e-07,2.4192e-07,3.0902e-07,2.3561e-07
0.110183,3.2455e-07,8.9425e-08,2.9631e-07,2.7567e-07,2.1796e-07,1.9844e-07,3.0507e-07,2.4259e-07,1.5821e-07,7.2703e-08,9.9120e-08,5.4304e-08,5.7241e-08,8.3828e-08,1.6482e-07,2.3809e-07,4.0006e-07,2.1185e-07,8.9906e-08,2.0001e-07,1.9201e-07,1.0465e-07,3.6161e-08,9.1791e-08,8.8495e-08,2.1253e-07,2.7978e-07,1.5893e-07,1.1736e-07,2.5660e-07,2.0372e-07,2.7136e-07,1.7194e-07,3.1448e-07,2.4192e-07,3.0902e-07,2.3561e-07
0.11172,3.2455e-07,9.1393e-08,2.9631e-07,2.7567e-07,2.1796e-07,1.9844e-07,3.0507e-07,2.4296e-07,1.5899e-07,7.3757e-08,9.9312e-08,5.4519e-08,5.7255e-08,8.3828e-08,1.6482e-07,2.3809e-07,4.0006e-07,2.1239e-07,9.0813e-08,2.0299e-07,1.9093e-07,1.0628e-07,3.6751e-08,9.2809e-08,8.9187e-08,2.1253e-07,2.7978e-07,1.5894e-07,1.1754e-07,2.5660e-07,2.0372e-07,2.7136e-07,1.7402e-07,3.1448e-07,2.4192e-07,3.0902e-07,2.3561e-07
0.113278,3.2455e-07,9.3530e-08,2.9631e-07,2.7567e-07,2.1796e-07,1.9844e-07,3.0522e-07,2.4359e-07,1.5997e-07,7.4942e-08,9.9696e-08,5.4886e-08,5.7426e-08,8.3828e-08,1.6482e-07,2.3809e-07,4.0006e-07,2.1337e-07,9.1886e-08,2.0643e-07,1.9013e-07,1.0813e-07,3.7417e-08,9.4058e-08,9.0037e-08,2.1253e-07,2.7978e-07,1.5923e-07,1.1795e-07,2.5660e-07,2.0372e-07,2.7136e-07,1.7654e-07,3.1448e-07,2.4192e-07,3.0902e-07,2.3561e-07
0.114858,3.2455e-07,9.6455e-08,2.9631e-07,2.7567e-07,2.1867e-07,1.9958e-07,3.0759e-07,2.4571e-07,1.6204e-07,7.6817e-08,1.0116e-07,5.6123e-08,5.8479e-08,8.4844e-08,1.6743e-07,2.3995e-07,4.0159e-07,2.1684e-07,9.3862e-08,2.1232e-07,1.9088e-07,1.1109e-07,3.8480e-08,9.6579e-08,9.1766e-08,2.1382e-07,2.8180e-07,1.6109e-07,1.1966e-07,2.5842e-07,2.0502e-07,2.7201e-07,1.8150e-07,3.1663e-07,2.4192e-07,3.0948e-07,2.3561e-07
