pressure_bar,PC_lat-49.3,PC_lat-46.2,PC_lat-43.0,PC_lat-39.9,PC_lat-36.8,PC_lat-33.9,PC_lat-31.1,PC_lat-28.3,PC_lat-25.6,PC_lat-23.0,PC_lat-20.4,PC_lat-17.9,PC_lat-15.4,PC_lat-12.9,PC_lat-10.5,PC_lat-8.1,PC_lat-5.7,PC_lat-3.3,PC_lat-0.9,PC_lat+1.5,PC_lat+3.9,PC_lat+6.3,PC_lat+8.7,PC_lat+11.1,PC_lat+13.6,PC_lat+16.0,PC_lat+18.5,PC_lat+21.1,PC_lat+23.6,PC_lat+26.3,PC_lat+29.0,PC_lat+31.7,PC_lat+34.6,PC_lat+37.6,PC_lat+40.6,PC_lat+43.8,PC_lat+47.0
0.101395,3.0265e-08,7.3125e-09,2.7631e-08,2.5707e-08,2.0325e-08,1.8505e-08,2.8448e-08,2.2415e-08,1.4320e-08,6.2157e-09,9.1351e-09,4.9446e-09,5.3291e-09,7.8171e-09,1.5370e-08,2.2244e-08,3.7377e-08,1.9488e-08,7.9057e-09,1.7090e-08,1.8556e-08,8.9066e-09,3.0641e-09,8.0081e-09,7.8729e-09,1.9819e-08,2.6089e-08,1.4814e-08,1.0841e-08,2.3928e-08,1.8997e-08,2.5305e-08,1.4911e-08,2.9326e-08,2.2560e-08,2.8817e-08,2.1971e-08
0.102809,3.0265e-08,7.4751e-09,2.7631e-08,2.5707e-08,2.0325e-08,1.8505e-08,2.8448e-08,2.2449e-08,1.4392e-08,6.3067e-09,9.1532e-09,4.9645e-09,5.3306e-09,7.8171e-09,1.5370e-08,2.2244e-08,3.7377e-08,1.9539e-08,7.9863e-09,1.7348e-08,1.8452e-08,9.0467e-09,3.1146e-09,8.0978e-09,7.9352e-09,1.9819e-08,2.6089e-08,1.4816e-08,1.0858e-08,2.3928e-08,1.8997e-08,2.5305e-08,1.5094e-08,2.9326e-08,2.2560e-08,2.8817e-08,2.1971e-08
0.104243,3.0265e-08,7.6410e-09,2.7631e-08,2.5707e-08,2.0325e-08,1.8505e-08,2.8448e-08,2.2485e-08,1.4463e-08,6.3989e-09,9.1712e-09,4.9842e-09,5.3321e-09,7.8171e-09,1.5370e-08,2.2244e-08,3.7377e-08,1.9590e-08,8.0676e-09,1.7609e-08,1.8348e-08,9.1889e-09,3.1658e-09,8.1885e-09,7.9978e-09,1.9819e-08,2.6089e-08,1.4817e-08,1.0875e-08,2.3928e-08,1.8997e-08,2.5305e-08,1.5277e-08,2.9326e-08,2.2560e-08,2.8817e-08,2.1971e-08
0.105697,3.0265e-08,7.8103e-09,2.7631e-08,2.5707e-08,2.0325e-08,1.8505e-08,2.8448e-08,2.2519e-08,1.4536e-08,6.4923e-09,9.1893e-09,5.0042e-09,5.3335e-09,7.8171e-09,1.5370e-08,2.2244e-08,3.7377e-08,1.9641e-08,8.1496e-09,1.7873e-08,1.8246e-08,9.3331e-09,3.2179e-09,8.2799e-09,8.0609e-09,1.9819e-08,2.6090e-08,1.4818e-08,1.0893e-08,2.3928e-08,1.8997e-08,2.5305e-08,1.5464e-08,2.9326e-08,2.2560e-08,2.8817e-08,2.1971e-08
0.107172,3.0265e-08,7.9830e-09,2.7631e-08,2.5707e-08,2.0325e-08,1.8505e-08,2.8448e-08,2.2554e-08,1.4608e-08,6.5869e-09,9.2073e-09,5.0240e-09,5.3350e-09,7.8171e-09,1.5370e-08,2.2244e-08,3.7377e-08,1.9691e-08,8.2323e-09,1.8140e-08,1.8143e-08,9.4793e-09,3.2706e-09,8.3723e-09,8.1243e-09,1.9819e-08,2.6090e-08,1.4819e-08,1.0910e-08,2.3928e-08,1.8997e-08,2.5305e-08,1.5651e-08,2.9326e-08,2.2560e-08,2.8817e-08,2.1971e-08
0.108667,3.0265e-08,8.1593e-09,2.7631e-08,2.5707e-08,2.0325e-08,1.8505e-08,2.8448e-08,2.2588e-08,1.4681e-08,6.6826e-09,9.2252e-09,5.0440e-09,5.3364e-09,7.8171e-09,1.5370e-08,2.2244e-08,3.7377e-08,1.9742e-08,8.3156e-09,1.8412e-08,1.8041e-08,9.6278e-09,3.3241e-09,8.4655e-09,8.1881e-09,1.9819e-08,2.6090e-08,1.4820e-08,1.0927e-08,2.3928e-08,1.8997e-08,2.5305e-08,1.5842e-08,2.9326e-08,2.2560e-08,2.8817e-08,2.1971e-08
0.110183,3.0265e-08,8.3391e-09,2.7631e-08,2.5707e-08,2.0325e-08,1.8505e-08,2.8448e-08,2.2622e-08,1.4753e-08,6.7797e-09,9.2431e-09,5.0640e-09,5.3378e-09,7.8171e-09,1.5370e-08,2.2244e-08,3.7377e-08,1.9793e-08,8.3998e-09,1.8687e-08,1.7939e-08,9.7773e-09,3.3785e-09,8.5597e-09,8.2523e-09,1.9819e-08,2.6090e-08,1.4821e-08,1.0944e-08,2.3928e-08,1.8997e-08,2.5305e-08,1.6034e-08,2.9326e-08,2.2560e-08,2.8817e-08,2.1971e-08
0.11172,3.0265e-08,8.5226e-09,2.7631e-08,2.5707e-08,2.0325e-08,1.8505e-08,2.8448e-08,2.2656e-08,1.4826e-08,6.8780e-09,9.2610e-09,5.0840e-09,5.3391e-09,7.8171e-09,1.5370e-08,2.2244e-08,3.7377e-08,1.9843e-08,8.4846e-09,1.8965e-08,1.7838e-08,9.9296e-09,3.4336e-09,8.6546e-09,8.3169e-09,1.9819e-08,2.6090e-08,1.4821e-08,1.0961e-08,2.3928e-08,1.8997e-08,2.5305e-08,1.6228e-08,2.9326e-08,2.2560e-08,2.8817e-08,2.1971e-08
0.113278,3.0265e-08,8.7219e-09,2.7631e-08,2.5707e-08,2.0325e-08,1.8505e-08,2.8462e-08,2.2715e-08,1.4918e-08,6.9885e-09,9.2968e-09,5.1182e-09,5.3551e-09,7.8171e-09,1.5370e-08,2.2244e-08,3.7377e-08,1.9935e-08,8.5848e-09,1.9287e-08,1.7764e-08,1.0102e-08,3.4958e-09,8.7711e-09,8.3961e-09,1.9819e-08,2.6090e-08,1.4849e-08,1.0999e-08,2.3928e-08,1.8997e-08,2.5305e-08,1.6463e-08,2.9326e-08,2.2560e-08,2.8817e-08,2.1971e-08
0.114858,3.0265e-08,8.9946e-09,2.7631e-08,2.5707e-08,2.0391e-08,1.8611e-08,2.8683e-08,2.2913e-08,1.5111e-08,7.1633e-09,9.4334e-09,5.2336e-09,5.4533e-09,7.9119e-09,1.5613e-08,2.2418e-08,3.7520e-08,2.0259e-08,8.7694e-09,1.9837e-08,1.7834e-08,1.0379e-08,3.5951e-09,9.0062e-09,8.5574e-09,1.9939e-08,2.6278e-08,1.5022e-08,1.1159e-08,2.4098e-08,1.9119e-08,2.5365e-08,1.6925e-08,2.9526e-08,2.2560e-08,2.8860e-08,2.1971e-08
